timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-10-13T17:40:34,codecarbon,824e4e68-cb8a-48ee-8564-d88be6f43d34,0.0009934902191162,2.341744784459366e-10,0.0002357088916831,12.5,0.0,2.928218364715576,3.4496188163757326e-09,0,8.080989735503863e-10,4.257717789926119e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-13T17:40:34,codecarbon,5ea8df1b-96c7-4c6b-a631-9e0629799327,1.8874962329864504,4.448606073787759e-07,0.0002356882093877,12.5,0.0,2.928218364715576,6.553806364536287e-06,0,1.53456831507782e-06,8.088374679614106e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T14:18:21,codecarbon,d48c43c5-fa50-4f53-bcd1-f9c1f944f866,0.0,0.0,,12.5,0.0,2.928218364715576,0.0,0,0.0,0.0,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T14:18:21,codecarbon,540b25df-81cf-4ad5-9a62-fb55f8baa05a,3.112455129623413,7.333923184583957e-07,0.0002356314510298,12.5,0.0,2.928218364715576,1.0803585251172384e-05,0,2.530820538980265e-06,1.333440579015265e-05,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:19:52,codecarbon,fae30ed9-b027-4b93-b4ad-04313b9cb560,0.0031530857086181,6.61698823270424e-10,0.000209857544139,12.5,0.0,2.928218364715576,1.0402666197882758e-08,0,1.628221497943134e-09,1.2030887695825894e-08,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:19:52,codecarbon,dfe6c66f-07da-4942-8082-4fa28a99d8d3,2.0619471073150635,4.860192673745204e-07,0.0002357088916831,12.5,0.0,2.928218364715576,7.1595385670661936e-06,0,1.6771753851978133e-06,8.836713952264006e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:28:00,codecarbon,985b8da3-198c-4514-a47a-fb905978e1da,0.0019950866699218,2.352984260266705e-10,0.0001179389495073,12.5,0.0,2.928218364715576,3.466175662146674e-09,0,8.11977538338245e-10,4.278153200484919e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:28:00,codecarbon,48be3dad-2edd-4405-8a5e-2c75470c838d,1.935330152511597,4.560513122275942e-07,0.0002356452265448,12.5,0.0,2.928218364715576,6.718701786465116e-06,0,1.5731402540365973e-06,8.291842040501713e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:30:20,codecarbon,1a37918a-0ea3-4ea5-b0fa-56b9a5174a3a,0.0020046234130859,4.3511238053844806e-10,0.0002170544241367,12.5,0.0,2.928218364715576,6.960497962103951e-09,0,9.50636229504198e-10,7.911134191608149e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:30:20,codecarbon,c006ef97-eaa1-4e8b-8c40-545fd2edfaf0,2.061475992202759,4.85821165565922e-07,0.0002356666618497,12.5,0.0,2.928218364715576,7.157277729776171e-06,0,1.675834371422411e-06,8.833112101198582e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:34:51,codecarbon,9c5aa923-b306-4558-a10d-c694ecf716ff,0.0009982585906982,2.352984260266705e-10,0.0002357088916831,12.5,0.0,2.928218364715576,3.466175662146674e-09,0,8.11977538338245e-10,4.278153200484919e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:34:51,codecarbon,1edb0010-bcce-4e21-8f69-8f4073ac9bda,1.9488956928253167,4.593720437619294e-07,0.0002357088916831,12.5,0.0,2.928218364715576,6.7669989334212405e-06,0,1.5852200440683837e-06,8.352218977489625e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:35:33,codecarbon,b1060079-c82b-4bd4-a6ac-68007a5337ec,0.0029613971710205,4.694729044726072e-10,0.0001585308816617,12.5,0.0,2.928218364715576,6.915794478522407e-09,0,1.620076511888631e-09,8.535870990411039e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:35:33,codecarbon,80a666d9-1376-48b7-83af-ee2c29e5bef0,2.079729080200196,4.900602298611389e-07,0.0002356365713816,12.5,0.0,2.928218364715576,7.219721873601279e-06,0,1.690464123873975e-06,8.910185997475254e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:41:12,codecarbon,75cb7598-deb9-4cdc-9be6-2f83b65557db,0.0021612644195556,4.182603786230428e-10,0.0001935257781687,12.5,0.0,2.928218364715576,6.818936930762398e-09,0,7.85797226020198e-10,7.604734156782596e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:41:12,codecarbon,b68e23f4-e980-4a77-bccd-09b536c59707,1.9498851299285889,4.595242415489731e-07,0.0002356673398323,12.5,0.0,2.928218364715576,6.769898037115733e-06,0,1.5850881728655965e-06,8.35498620998133e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:42:01,codecarbon,cfd6783d-0503-44c3-85b8-62cc1a84e0ba,0.0019950866699218,4.2534491789451877e-10,0.0002131962106243,12.5,0.0,2.928218364715576,6.927384270562066e-09,0,8.061596911564565e-10,7.733543961718523e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:42:01,codecarbon,07e9b432-8431-42b9-896f-e35f0222d1a6,1.9377470016479488,4.567262578193679e-07,0.000235699633353,12.5,0.0,2.928218364715576,6.72828820016649e-06,0,1.575825578367471e-06,8.304113778533962e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:46:25,codecarbon,4c4c11af-171d-463d-b54f-9f65944e92d7,0.0010020732879638,2.361975840912578e-10,0.0002357088916831,12.5,0.0,2.928218364715576,3.479421138763428e-09,0,8.150803901685321e-10,4.29450152893196e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-14T19:46:25,codecarbon,dc7cb804-e8fd-4c20-bc9f-324c47485d8f,1.9780418872833252,4.661481551340377e-07,0.00023566141755180579,12.5,0.0,2.928218364715576,6.866817673047383e-06,0,1.6086033293896661e-06,8.475421002437049e-06,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
